Category,Subcategory,Column,Full Name,Description
Batting,Basic,#,Player Number,Player's jersey number
Batting,Basic,Name,Player Name,Player's full name
Batting,Basic,G,Games,Batting Games Played
Batting,Basic,SEQ,Sequence,The Order in which the Player Batted
Batting,Basic,PA,Plate Appearances,Total plate appearances
Batting,Basic,AB,At Bats,Official at bats
Batting,Basic,R,Runs,Runs scored
Batting,Basic,H,Hits,Total hits
Batting,Basic,B,Bunts,Bunt Singles
Batting,Basic,1B,Singles,Single base hits
Batting,Basic,2B,Doubles,Two-base hits
Batting,Basic,3B,Triples,Three-base hits
Batting,Basic,HR,Homeruns,Home runs
Batting,Basic,XBH,Extra Base Hits,2B + 3B + HR
Batting,Basic,TB,Total Bases,Total bases from hits
Batting,Basic,OB,On Base,Times reached base
Batting,Basic,RBI,Runs Batted In,Runs driven in
Batting,Basic,AVG,Batting Average,H/AB
Batting,Basic,BB,Walks,Base on balls
Batting,Basic,BBi,Intentional Walks,Intentional base on balls
Batting,Basic,Kc,Strike Outs Looking,Called third strikes
Batting,Basic,Ks,Strike Outs Swinging,Swinging third strikes
Batting,Basic,SO,Strike Outs,Total strikeouts (Kc+Ks)
Batting,Basic,HBP,Hit By Pitch,Times hit by pitch
Batting,Basic,SB,Stolen Bases,Successful stolen bases
Batting,Basic,CS,Caught Stealing,Caught stealing attempts
Batting,Basic,PK,Picked Off,Times picked off base
Batting,Basic,SCB,Sacrifice Bunts,Sacrifice bunt attempts
Batting,Basic,SF,Sacrifice Flys,Sacrifice fly balls
Batting,Basic,SAC,Sacrifices,Total sacrifices
Batting,Basic,LOBi,Left on Base (Individual),Times the player left runners on base
Batting,Basic,LOB,Left on Base (Team),Times the player was left on base
Batting,Basic,ROE,Reached on Error,Times reached base on error
Batting,Basic,FC,Fielder's Choice,Reached on fielder's choice
Batting,Basic,CI,Catcher's Interference,Reached on catcher's interference
Batting,Basic,GDP,Grounded into Double Play,Double plays grounded into
Batting,Basic,GTP,Grounded into Triple Play,Triple plays grounded into
Batting,Advanced,#,Player Number,Player's jersey number
Batting,Advanced,Name,Player Name,Player's full name
Batting,Advanced,RC,Runs Created,Advanced offensive metric
Batting,Advanced,BB/K,Walk to Strikeout Ratio,BB/K
Batting,Advanced,BB/PA,Walk Rate,Walks per Plate Appearance
Batting,Advanced,RPA,Runs per Appearance,Offensive efficiency metric
Batting,Advanced,OBP,On Base Percentage,(H+BB+HBP)/(AB+BB+HBP+SF)
Batting,Advanced,OBPE,On Base Percentage w/ROE,OBP including errors
Batting,Advanced,SLG,Slugging Percentage,TB/AB
Batting,Advanced,OPS,On Base Plus Slugging,OBP + SLG
Batting,Advanced,GPA,Gross Production Average,Advanced offensive metric
Batting,Advanced,BABIP,Batting Average on Balls in Play,H/(AB-SO-HR+SF)
Batting,Advanced,1/RPA,Inverse RPA,Reciprocal of RPA
Batting,Advanced,CT%,Contact Percentage,(AB-K)/AB
Batting,Advanced,CT2%,Contact Percentage 2,(AB-K)/PA
Batting,Advanced,PA/RSP,PA with Runners in Scoring Position,Clutch situations
Batting,Advanced,AB/RSP,AB with Runners in Scoring Position,At bats with RISP
Batting,Advanced,BB/RSP,BB with Runners in Scoring Position,Walks with RISP
Batting,Advanced,HBP/RSP,HBP with Runners in Scoring Position,Hit by pitch with RISP
Batting,Advanced,SAC/RSP,Sacrifices with RISP,Sacrifices with runners in scoring position
Batting,Advanced,CI/RSP,Catcher's Interference with RISP,CI with RISP
Batting,Advanced,H/RSP,Hits with Runners in Scoring Position,Hits with RISP
Batting,Advanced,BA/RSP,Batting Average with RISP,Clutch hitting average
Batting,Hit Type and Power,#,Player Number,Player's jersey number
Batting,Hit Type and Power,Name,Player Name,Player's full name
Batting,Hit Type and Power,GBs,Soft Ground Balls,Weakly hit ground balls
Batting,Hit Type and Power,GBm,Medium Ground Balls,Medium contact ground balls
Batting,Hit Type and Power,GBh,Hard Ground Balls,Hard hit ground balls
Batting,Hit Type and Power,LDs,Soft Line Drives,Weakly hit line drives
Batting,Hit Type and Power,LDm,Medium Line Drives,Medium contact line drives
Batting,Hit Type and Power,LDh,Hard Line Drives,Hard hit line drives
Batting,Hit Type and Power,PUs,Soft Popups,Weakly hit popups
Batting,Hit Type and Power,PUm,Medium Popups,Medium contact popups
Batting,Hit Type and Power,PUh,Hard Popups,Hard hit popups
Batting,Hit Type and Power,FBs,Soft Flyballs,Weakly hit fly balls
Batting,Hit Type and Power,FBm,Medium Flyballs,Medium contact fly balls
Batting,Hit Type and Power,FBh,Hard Flyballs,Hard hit fly balls
Batting,Hit Type and Power,GB%,Ground Ball Percentage,% of balls in play that are ground balls
Batting,Hit Type and Power,LD%,Line Drive Percentage,% of balls in play that are line drives
Batting,Hit Type and Power,PU%,Popup Percentage,% of balls in play that are popups
Batting,Hit Type and Power,FB%,Flyball Percentage,% of balls in play that are fly balls
Batting,Hit Type and Power,SH%,Soft Hit Percentage,% of balls hit softly
Batting,Hit Type and Power,MH%,Medium Hit Percentage,% of balls hit with medium power
Batting,Hit Type and Power,HH%,Hard Hit Percentage,% of balls hit hard
Batting,Plate Discipline,#,Player Number,Player's jersey number
Batting,Plate Discipline,Name,Player Name,Player's full name
Batting,Plate Discipline,Sc,Strikes Looking,Called strikes
Batting,Plate Discipline,Ss,Strikes Swinging,Swinging strikes
Batting,Plate Discipline,F,Fouls,Foul balls
Batting,Plate Discipline,Ball,Balls,Pitches outside strike zone
Batting,Plate Discipline,Bi,Intentional Balls,Intentional balls (IBB)
Batting,Plate Discipline,BIP,Balls in Play,Batted balls in play
Batting,Plate Discipline,TP,Total Pitches,Total pitches seen
Batting,Plate Discipline,Ss%,Swinging Strike Percentage,Ss/TP
Batting,Plate Discipline,Ot,Outside Total,Total pitches outside the zone
Batting,Plate Discipline,Zt,Zone Total,Total pitches inside the zone
Batting,Plate Discipline,Os,Outside Swings,Swings at pitches outside zone
Batting,Plate Discipline,Zs,Zone Swings,Swings at pitches in zone
Batting,Plate Discipline,Oc,Outside Contact,Contact on pitches outside zone
Batting,Plate Discipline,Zc,Zone Contact,Contact on pitches in zone
Batting,Plate Discipline,FP,First Pitches,Total first pitches seen
Batting,Plate Discipline,FS,First Pitch Strikes,First pitches that were strikes
Batting,Plate Discipline,FB,First Pitch Balls,First pitches that were balls
Batting,Plate Discipline,FPSw,First Pitch Swings,Swings at first pitch
Batting,Plate Discipline,FPSw%,First Pitch Swing Percentage,FPSw/FP
Batting,Plate Discipline,FPSs,First Pitch Swings for Strike,First pitch swinging strikes
Batting,Plate Discipline,FPF,First Pitch Fouls,First pitch foul balls
Batting,Plate Discipline,FPBu,First Pitch Bunts,First pitch bunts
Batting,Plate Discipline,FP1B,First Pitch Singles,First pitch singles
Batting,Plate Discipline,FP2B,First Pitch Doubles,First pitch doubles
Batting,Plate Discipline,FP3B,First Pitch Triples,First pitch triples
Batting,Plate Discipline,FPHR,First Pitch Homeruns,First pitch home runs
Batting,Plate Discipline,FPH,First Pitch Hits,Total first pitch hits
Batting,Plate Discipline,FPCI,First Pitch Catcher's Interference,CI on first pitch
Batting,Plate Discipline,FPFC,First Pitch Fielder's Choice,FC on first pitch
Batting,Plate Discipline,FPROE,First Pitch Error,Reached on error on first pitch
